text,sense
"the case considered whether a [MASK], in order to ""actively [induce] infringement of a patent"" under 35 u.s.c. §",3
"at the same time, no [MASK] should be allowed an advantage over an other through the use of an advocate.",3
first fsp festival was created as a local [MASK] for friends in 2008.,1
his co-workers at wkrp throw him a [MASK] where they try to convince him not to leave; he admits how much he loves and cares about the people he works with.,1
"the [MASK] present in the so-called ""pre-autonomous"" region choose to adopt a distinctive symbol for this territory.",2
there may be several combinations of [MASK] which might form a coalition.,2
"in law, sua sponte (latin: ""of his, her, its or their own accord"") or suo motu (""on its own motion"") describes an act of authority taken without formal prompting from another [MASK].",3
heffer is an absolute glutton who loves to eat and [MASK].,1
his [MASK] was attacked by snake indians on october 1824 at the jordan river near its mouth at the great salt lake.,1
"the left–right political spectrum is a system of classifying political positions, ideologies and [MASK], from equality on the left to social hierarchy on the right.",2
a price is the quantity of payment or compensation given by one [MASK] to another in return for one unit of goods or services..,3
on a number of occasions leigh has voted against the leadership of his [MASK] where it conflicts with his own principles.,2
"artsakh has a multi-[MASK] system, with numerous political [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"for the last half of the century, it was the policy of the [MASK] in power in the legislature to secure the largest amount of political advantage in making the apportionments, and they were made whenever the political control of the assembly changed.",2
"in the united states politics, [MASK] switching is any change in [MASK] affiliation of a partisan public figure, usually one who is currently holding elected office.",2
"jamie soon discovers the [MASK]-scene of new york where he meets characters like tad, who brings jamie into a world of cocaine, sex and all-night [MASK]ing at the odeon club.",1
"he later studied social science at the parteihochschule karl marx, the [MASK] school of the socialist unity [MASK] of germany, and worked as a philosophy lecturer at the free german youth-administered wilhelm pieck youth academy in bogensee until 1990.",2
"on 30 november 2006 a letter was sent to her that she was being summarily dismissed for gross misconduct, apparently misconduct at a private [MASK],",1
"where an acquiring company uses its own stock as part of the consideration paid to acquire another company, or in a merger of two companies, the contract may provide that either [MASK] to the transaction can cancel it if a material adverse change significantly reduces the value of the other [MASK].",1
the critical difference between the two systems was the power to adjudicate assumed by the new courts regardless of the wishes of the [MASK].,3
"on the first day, the festival had an opening event; on 16-17 march it was open in full capacity during both day and night, while the fourth day was reserved for a farewell [MASK].",1
the bahian carnival () is the largest [MASK] on the planet.,1
"gask, or ""gasque"", is a kind of swedish student [MASK] which starts with a more or less formal dinner.",1
"the minor [MASK] in the progressive front, were legally required to accept the leadership of the ba'ath [MASK].",2
"a conservative democrat, he helped bring his [MASK] to prominence.",2
she then invites some friends (who are billie's dancers) to her house where they have a dance [MASK].,1
"opposition [MASK] are permitted, including the mdc-t led by morgan tsvangirai and the mdc-m led by welshman ncube, both formations of the original movement for democratic change created in 1999.",2
"in doing so, they have no special closeness to any of the established [MASK], but represent, depending on the topic, some classical liberal (strengthening of civil and human rights, sme promotion, public budget discipline), some conservative (increase staff of the security forces, stricter border controls, more deportations of rejected asylum seekers and less family reunification for refugees in germany, drug control, promoting local traditions and dialects), partly social liberal (state general interest, equal opportunities in education, housing promotion) or ecologically-alternative goals (energy policy, water management).",2
"a payment is the trade of value from one [MASK] (such as a person or company) to another for goods, or services, or to fulfill a legal obligation.",3
"the ""deviant current"" or ""current of deviation"" () is a term used by iranian officials (e.g. high-ranking clerics, revolutionary guards commanders) and conservative rivals of mahmoud ahmadinejad to describe ahmadinejad's entourage which functions like a faction or [MASK].",2
a [MASK] does not have the right to denounce a treaty unilaterally.,3
"this also applies to a political convention, though in modern times the common issues are limited to selecting a [MASK] candidate or [MASK] chairman.",2
"morocco has had a multi-[MASK] system since independence in 1956, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"an offset in law, is a reduction in the amount of a judgment granted to a losing [MASK] based on debts owed by the prevailing [MASK] to the losing [MASK].",3
kuwait has a robust public sphere and active civil society with political and social organizations that are [MASK] in all but name.,2
members elected to county government positions are required to declare [MASK] affiliations and be residents of the county.,2
"republika srpska has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] usually has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"the pavilion is used frequently for dances, [MASK], and weddings.",1
"from 1998–1999, the united states held series of bilateral talks with india over the issue of india becoming [MASK] of the ctbt and npt.",2
"lawsuits (or actions in executive agencies) where all interested [MASK] have been served with adequate notices and are given a reasonable opportunity to attend and to be heard are referred to as ""inter partes"" proceedings or hearings.",3
"the national liberal [MASK] (, nlp) was a liberal [MASK] of the north german confederation and the german empire which flourished between 1867 and 1918.",2
"after registration closed, [MASK] leaders participated in a random drawing of the number determining the order in which their [MASK] appear on ballots, numbers which are also used in nationwide campaigning.",2
"parallel states are common in totalitarian societies, such as nazi germany, fascist italy, and imperial japan, [MASK], youth organizations, leisure organizations, work/labor collectives, unions, and militias.",2
"the justice forum, commonly known as jeema, is one of uganda’s leading opposition [MASK], with representation in parliament.",2
a children's [MASK] or kids' [MASK] is a [MASK] for children such as a birthday [MASK] or tea [MASK].,1
a cocktail [MASK] is a [MASK] at which cocktails are served.,1
"the people have become accustomed to rush to their homes early in the evening because khartoum yawns early due to the government decision to stop private [MASK] at 11:00 pm, an hour before midnight.",1
"the philippines has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form a coalition government.",2
"on august 16, 2010, the ninth circuit unanimously granted the motion to stay, ordered expedited briefing on the merits of the appeal, and directed the [MASK] to brief the issue of why the appeal should not be dismissed for lack of standing.",3
"jianzhongjingguo"" ( ""jiànzhōngjìngguó""), the first era name of emperor huizong of song china, means ""establishing middle, peaceful country"", reflecting his idealism towards moderating the rivalry among the conservative and progressive [MASK] on political and social reformation.",1
"part of their earnings was used to finance [MASK] events and to ""spend lavishly"" at the clubs, pubs, and restaurants which the gang members frequented.",1
agnès tells manise that her friend cécile coste has invited them to a [MASK] he does not want to go but concedes when she agrees to buy him a suit.,1
"during the first 23 years of renewed democracy beginning 1982, no one [MASK] succeeded in gaining power alone, and [MASK] had to work with each other to form coalition governments.",2
the full moon [MASK] is an all-night beach [MASK] that originated,1
a choice of law clause or proper law clause is a term of a contract in which the [MASK] specify that any dispute arising under the contract shall be determined in accordance with the law of a particular jurisdiction.,3
in addition the commission made it so that all delegate selection procedures were required to be open; [MASK] leaders could no longer handpick the convention delegates in secret.,2
hell & heaven is a unique event where participants from brazil and all over the world get together in three themed [MASK].,1
the new patriotic [MASK] (npp) is a centre-right and liberal conservative [MASK] in ghana.,2
"venezuela has a multi-[MASK] system, with numerous [MASK].",2
"when the siblings grew up, they held [MASK] and introduced the tradition to friends while in college, and the tradition began to spread.",1
"founded in the summer of 1992 in the laundry rooms of the former garrison in the schiffbauergasse, forty young people interested in art and culture started to present [MASK], events and exhibitions.",1
"it is limited to liberal [MASK] with substantial support, mostly limited to [MASK] with parliamentary status",2
"sierra leone has a multi-[MASK] system, with two or three strong [MASK].",2
"for example, in united states federal courts, any person who is at least 18 years old and not a [MASK] may serve a summons and complaint in a civil case.",3
"serbia has a multi-[MASK] system with numerous [MASK], in which no [MASK] often has a chance of gaining power alone.",2
"prior to the 2017 state election, both major [MASK] in western australia discussed the prospect of expunging consensual homosexual sex crimes, with the opposition labor [MASK] pledging to implement such a scheme if elected and the incumbent coalition government stating it would consider the proposal.",2
""" (cd&v), a centrist flemish christian democratic [MASK].",2
it is limited to liberal [MASK].,2
"norway has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments or minority cabinets.",2
"the german socialist [MASK] (german: ""deutschsozialistische partei"", dsp) was a short-lived german nationalist, far-right [MASK] during the early years of the weimar republic.",2
"the socialist [MASK] usa, officially the socialist [MASK] of the united states of america (spusa), is a multi-tendency democratic socialist [MASK] in the united states.",2
the republican citizens committee against national prohibition was established shortly before the 1932 republican national convention to pressure the [MASK] to support the repeal of prohibition.,1
"gush shalom is an extra-parliamentary organization, independent of any [MASK] or other political grouping although it has members who are associated with various political [MASK].",2
it hosted many acts from the time it was initially leased for fraternity [MASK] and biker bashes in 1985 until it was discovered by young rock bands desperate for a place to perform.,1
"those present at court typically include the magistrate, police prosecutor, defendant, plaintiff and witnesses for either [MASK].",1
"service of process in virginia encompasses the set of rules indicating how a [MASK] to a lawsuit must be given service of process in the state of virginia, in order for the judiciary of virginia to have jurisdiction over that [MASK].",3
the burden of proof () is the obligation of a [MASK] in a trial to produce the evidence that will prove the claims they have made against the other [MASK].,3
"but for the other left-wing [MASK], particularly the anarchists and poum, the war and the revolution were the same.",2
"solomon islands have a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone.",2
"mali has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"there have always been those who held important state, public and [MASK] offices, those who wielded absolute power, those who were limited in their actions by law or tradition.",2
"opposition [MASK] are allowed, but are widely considered to have no real chance of gaining power.",2
"in the 1970s, senyszyn was a member of the polish united workers' [MASK] (pzpr), the governing [MASK] in the communist people's republic of poland.",2
"it is limited to liberal [MASK] with substantial support, mainly proved by having had representation in the national assembly of armenia.",2
"a court is any person or institution with authority to judge or adjudicate, often as a government institution, with the authority to adjudicate legal disputes between [MASK] and carry out the administration of justice in civil, criminal, and administrative matters in accordance with the rule of law.",3
"the system of [MASK] was very fluid, functioning on the basis of groups depending on individual personalities or ""caudillos"" who held the control of the [MASK] and could form or dissolve cabinets.",2
"the islamic iran participation front (; ""jebheye mosharekate iran-e eslaami"") is a reformist political [MASK] in iran.",1
the free-minded union () or radical union was a liberal [MASK] in the german empire that existed from 1893 to 1910.,2
"san marino has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"entertainment evolves and can be adapted to suit any scale, ranging from an individual who chooses a private entertainment from a now enormous array of pre-recorded products; to a banquet adapted for two; to any size or type of [MASK], with appropriate music and dance; to performances intended for thousands; and even for a global audience.",1
identifying a form of government is also difficult because many political systems originate as socio-economic movements and are then carried into governments by [MASK] naming themselves after those movements; all with competing political-ideologies.,2
"originally aimed at aerobics sessions and night clubs alike, the song is often played at dance clubs, school pe/dances/proms, [MASK], ice and roller skating rinks, bar mitzvahs and weddings in the united states and the united kingdom.",1
"with three main themes of ideas, art, and culture, the biennial is designed to bring together experts and leaders from across north, south, and central america in a variety of formats that include panel discussions, peer-to-peer workshops, art exhibits, outdoor architectural installations, and public [MASK].",1
"to secure political independence, in most european countries, political [MASK] are factual associations.",1
in 1907 he became a part of egyptian national [MASK] that was led by mostafa kamel pasha who was also a journalist and a political figure.,1
"opposition [MASK] are allowed, and are represented in parliament, but are widely considered to have no real chance of gaining power.",2
panhellenic citizen chariot () is a greek left-wing anti-austerity [MASK].,2
medvedev's candidacy was supported by former president vladimir putin and pro-presidential [MASK].,2
"cyprus has a multi-[MASK] system, with two or three strong [MASK] and a third [MASK] that is electorally successful.",2
"some features set apart the bahá'í administration from similar systems of human government: elected representatives should follow their conscience, rather than being responsible to the views of electors; political campaigning, nominations and [MASK] are prohibited; and religious authority was passed down from its founder to the universal house of justice.",2
"the socialist [MASK] of florida (spfl) is the florida state chapter of the socialist [MASK] usa, a democratic socialist [MASK].",2
he specialized in comparative politics and specifically in the study of [MASK] and [MASK] systems.,2
"the court held, as to the issue of whether or not a valid agreement of lease had been concluded, that an examination of the letter written to the applicant by dre on september 18, and the applicant's reply thereto, dated 8 october, made it clear that the [MASK] had reached consensus on the essentials of the lease: once the applicant had accepted the terms and conditions contained in the memorandum attached to dre's letter (which it had, by sending its cheque for the first month's rental, deposit and other charges), a binding agreement would have been concluded between the [MASK].",3
"in the terminology of communism, the general line of the [MASK] or simply the general line refers to the directives of the governing bodies of a [MASK] (usually a communist [MASK]) which define the [MASK]'s politics.",1
"it was presented by actress patricia heaton, and it featured heaton showcasing how to prepare different recipes for themed [MASK].",1
the national alliance for reconstruction (nar) was the governing [MASK] in trinidad and tobago between 1986 and 1991.,2
"each region is a group of constituencies, and the d'hondt method of allocating additional member seats from [MASK] lists is used to produce a form of proportional representation for each region",2
"""dvd"") in france refers to right-wing candidates who are not members of any large [MASK].",2
"the most important processes are the european integration, politically as well as with regards to the media (e.g. european media laws), the decline of traditional political mass [MASK], the american influence on the professionalization of journalism, and finally the commercialization of the media markets in europe.",1
"state offensive [MASK], [MASK] for the promotion of the rule of law,law and order offensive [MASK], or [MASK] of law and order offensive (), commonly known as the ""schill [MASK]"" from 2000 to 2003, was a minor right-wing populist [MASK] in germany, mainly active in the state of hamburg, that ran on a platform of law and order.",2
"in namibian politics, ethnicity plays a significant role in [MASK] affiliation and voting behaviour.",2
"thousands of visitors attend the schiffbauergasse every week to listen to concerts, see exhibitions, enjoy themselves at [MASK], watch movies or participate in dance workshops.",1
"time is of the essence"" is a term used in contract law in england and wales (a legal jurisdiction within the united kingdom), canada, australia, new zealand, other commonwealth countries and the united states expressing ""the need for timely completion"", i.e. indicating that one or more [MASK] to the agreement must perform by the time to which the [MASK] have agreed if a delay will cause material harm.",3
"the analogy reminds litigants to keep their costs down in cases where judge may well divide fault, i.e. may ""split the difference"" in terms of damage awards or other remedies between the two [MASK] (a very common example is in a comparative negligence case also known as contributory negligence scenario).",3
"in law, motu proprio (latin for: ""on his own impulse"") describes an official act taken without a formal request from another [MASK].",3
"as valentine's day approaches, dorothy is planning a [MASK] at her family's estate.",1
"two recurring themes throughout the album are [MASK] (""[MASK] coordinator,"" ""[MASK] in september"" and ""[MASK] all the time"") and friends (""best friends forever"" and ""i need friends"").",1
the d'hondt slightly favours large [MASK] and coalitions over scattered small [MASK].,2
"in ""christmas [MASK]"", packer attends the office christmas [MASK] near the end of the episode, greeting the staff with ""what's up, muh nerds?"" and wearing a sprig of mistletoe over his crotch.",1
"in first past the post assemblies, where the tendency to gravitate into two major [MASK] or [MASK] groupings operates strongly, ""government"" and ""opposition"" roles can go to the two main groupings serially in alternation.",2
a [MASK] dress is a dress worn especially for a [MASK].,1
"jones first purchased a piece of scandinavian cloth in 1971 in order to guide [MASK] guests to her home in the fan district section of richmond, virginia.",1
"given the two-[MASK] nature of the u.s. system, the minority leader is almost inevitably either a republican or a democrat.",2
montenegro has a multi-[MASK] system with numerous [MASK].,2
"a [MASK] argues that it should not be held liable for a legal charge or claim brought against them by some legal process, because it has been found such a process is illegitimate.",3
"social and family activities are often held during this time, such as supper or more formal social gatherings and entertainment, such as [MASK], in particular dance [MASK].",1
"this has produced serious problems for the [MASK] and for the court systems which are now expected to accept jurisdiction over persons sometimes only transiently within their territorial boundaries, and to enforce the judgments and orders of ""foreign"" courts.",3
so of course there's the side of me that likes going to the strip club and likes [MASK]ing,1
"in the latter instance, the short list may be compiled by the [MASK] election committee, after conducting research and undergoing a process of elimination, selecting individuals judged fit and capable of successfully completing any processes needed for acceptance.",2
"an unabashed [MASK] record, ""dance to the music"" opens with robinson screaming to the audience, demanding that they ""get on up...and dance to the music!",1
"it is limited to liberal [MASK] with substantial support, mainly proved by having had a representation in the saeima.",2
"the national union [MASK] (""partido unión nacional"") is the name of several liberal conservative [MASK] in costa rica, generally located right-to-center in the political spectrum.",2
"when a court employs the extraordinary remedy of injunction, it directs the conduct of a [MASK], and does so with the backing of its full coercive powers.",3
"in a civil lawsuit, a defendant (or a respondent) is also the accused [MASK], although not of an offense, but of a civil wrong (a tort or a breach of contract, for instance).",3
"the northern marianas has a multi-[MASK] system, with two or three strong [MASK] and a third [MASK] that is electorally successful.",2
"a bachelor [MASK], also known as a stag [MASK], stag night, stag do, stag weekend (in the united kingdom, commonwealth countries, and ireland), or a buck's night (in australia) is a [MASK] held for the man who is to shortly enter marriage.",1
he accepted the challenge and returned as deputy secretary of the [MASK].,1
"generally, the foods prepared on ""the surreal gourmet"" are intended to be served at [MASK] or other get-togethers.",1
"in the 1970s, light organs were a popular lighting effect used in discotheques and dance [MASK]; and also during that period, the home entertainment manufacturer morse-electrophonic produced some of their stereo systems with a built-in light organ display (such as their ""stereo bar"").",1
"this contrasts with pledged delegates who are selected based on the [MASK] primaries and caucuses in each u.s. state, in which voters choose among candidates for the [MASK]'s presidential nomination.",2
"libertarian marxist currents often draw from marx and friedrich engels' later works, specifically the ""grundrisse"" and ""the civil war in france"", emphasizing the marxist belief in the ability of the working class to forge its own destiny without the need for a revolutionary [MASK] or state to mediate or aid its liberation.",2
a fiduciary is a person who holds a legal or ethical relationship of trust with one or more other [MASK] (person or group of persons).,3
"accessibility and diversity in programming allow the public to engage the week on many levels; experiencing a show, taking in an exhibit, participating in an educational program or joining in the festivities at a [MASK].",1
members elected to county government positions are required to declare a [MASK] affiliation and to be residents of the county.,2
"with zapper and zapper's rich new wife, rory showed up for jennifer's christmas [MASK] many years later, once again a wealthy man, this time inherited from an aunt he never knew he had, though with his track record, whether this is to last remains to be seen.",1
"guam has a multi-[MASK] system, with two strong [MASK].",2
"poland has a multi-[MASK] political system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
medieval games is a [MASK] video game developed by american studio n-fusion interactive and published by vir2l studios for nintendo's wii console.,1
"the netherlands has a multi-[MASK] system, with numerous [MASK], in which usually no one [MASK] ever secures an overall majority of votes (except occasionally in very small municipalities, such as tubbergen), so that several [MASK] must cooperate to form a coalition government.",2
the minority whip is a member of the minority [MASK] who assists the minority leader in coordinating the [MASK] caucus in its responses to legislation and other matters.,2
he would also frequently spend his time at all-night [MASK].,1
"hackett said, ""for me, this is a second betrayal...first, my government misused and mismanaged the military in iraq, and now my own [MASK] is afraid to support candidates like me.""",2
in the baltic states trade unions were the part of the soviet union trade union system and closely connected with the [MASK] in the state.,1
"but if the original is in the possession of the other [MASK] to the suit, who refuses to produce it, or if the original is lost or destroyed, then secondary evidence will be admitted.",3
"the predominant [MASK] in prussia regarded his political opinions with mistrust, and he was not offered an ordinary professorship until february 1873, after he had decided to accept a chair at the university of munich, where he passed the last nineteen years of his life.",2
cnn has often been the subject of allegations of [MASK] bias.,2
"to ensure harmonization, the contracting [MASK] to the convention on the harmonized commodity description and coding system, have agreed to base their national tariff schedules on the hs nomenclature and legal notes.",3
the national council of sierra leone was the main opposition [MASK] in sierra leone in the early 1950s.,2
"a political line is the general view a political [MASK], organization, faction, or ideology takes on a given question.",2
"the german people's [MASK] (, or dvp) was a national liberal [MASK] in weimar germany and a successor to the national liberal [MASK] of the german empire.",2
"as a politician, burnett was known for his oratorical skill, persuasiveness, sense of humor, and effectiveness at working across [MASK] lines to achieve results.",2
"in canada, her majesty's loyal opposition () is usually the largest parliamentary opposition [MASK] in the house of commons or in a provincial legislative assembly that is not in government, either on its own or as part of a governing coalition.",2
"the antifascist democratic front (spanish: ""frente democrático antifascista"", fda) was a political alliance of the traditionalist and left-wing [MASK] in bolivia.",2
"this hall is available on request for promoting arts & cultural activities, wedding events/receptions, and other committee approved meeting or [MASK] events.",1
"a fête, or fete, is an elaborate festival, [MASK] or celebration.",1
"players play mini-games that the player will have to complete when the player isn't travelling on hazardous paths from point a to point b. challenges that require the player his/her entire [MASK] include having to punch chickens into cook pots or a pen, escorting characters through a stage (billy goat gruff and the three blind mice), and collecting fairies, jewels, etc.",1
"a function hall, reception hall, or banquet hall is a room or building for the purpose of hosting a [MASK], banquet, wedding or other reception, or other social event.",1
"she became director of income generation and marketing for the conservative [MASK] in october 2002, with the aim of increasing revenue from the [MASK]'s supporter base.",2
"although controversial and limited in scope by methods of enforcement, in several parts of the world the polluter pays principle, which makes the [MASK] responsible for producing pollution responsible for paying for the damage done to the natural environment, is accepted.",3
"the homeland [MASK] (, ""ḥizb el-waṭan""; ) or el-watan [MASK] is a centrist [MASK] in tunisia, that was launched on 19 february 2011 and officially licensed on 9 march 2011.",2
"under the original terms of the state constitution, the lieutenant governor was elected for a two-year term on a separate ticket from the governor; because of this, the governor and lieutenant governor of wisconsin have not always been of the same [MASK].",2
"the ""iudex privatus"" was a sole arbitrator or lay judge who conducted a civil case to which the [MASK] had consented and who usually nominated him.",3
"in 1996, fernández y krohn was charged with arson in the brussels branch of the separatist basque [MASK] herri batasuna and was convicted.",2
the pedersen index is a measure of electoral volatility in [MASK] systems.,2
"in the usa, a [MASK] admission, in the law of evidence, is any statement made by a declarant who is a [MASK] to a lawsuit, which is offered as evidence ""against"" that [MASK].",3
"mediation, as used in law, is a form of alternative dispute resolution resolving disputes between two or more [MASK] with concrete effects.",3
he changed [MASK] for his second term from democratic to whig.,2
"a stop light [MASK], stoplight [MASK], traffic light [MASK] or traffic [MASK] is a [MASK] at which guests wear different colors indicating their relationship-seeking status.",1
"in many u.s. jurisdictions, a complaint submitted to a court must be accompanied by a case information statement, which sets forth specific key information about the case and the lawyers representing the [MASK].",3
"however, if one [MASK] cannot find another [MASK] interested in trading the asset, this can potentially be only a problem of the market participants with finding each other.",1
"broad front (), officially registered as the broad front for justice, life and liberty (), is a political coalition of leftist [MASK] and movements in peru.",2
"an amicus curiae (literally, ""friend of the court""; plural, amici curiae) is someone who is not a [MASK] to a case and may or may not have been solicited by a [MASK] and who assists a court by offering information, expertise, or insight that has a bearing on the issues in the case; and is typically presented in the form of a brief.",3
"many of the political rides have their roots from critical mass and are often described or categorized as a form of political protest, street theatre, [MASK]-on-wheels, streaking, public nudity and clothing-optional recreation and thus attracts a wide range of participants.",1
"in st. petersburg, florida, the girls attend wild beach [MASK] fueled by alcohol, drugs and sex.",1
"lars-olof ""mikael"" jansson (born 4 september 1965, umeå, västerbotten) is a swedish politician from the [MASK] alternative for sweden.",2
"leading the [MASK] to a military coup in 1991, he declared himself the sole leader of a unified russia which was renamed the volgan republic.",2
kp's goal is to form a new communist [MASK] in norway.,2
manise also reveals that agnès is addicted to drugs and that the day of the [MASK] she fainted due to withdrawal syndrome.,1
"a block [MASK] or street [MASK] is a [MASK] in which many members of a single community congregate, either to observe an event of some importance or simply for mutual enjoyment.",1
"a pig pickin' (also known as rolling a pig, pig pull, hog roast, pig roast or, among the cajun, ""cochon de lait"") is a type of [MASK] or gathering held primarily in the american south which involves the barbecuing of a whole hog (the castrated male pig or barrow, bred for consumption at about 12 weeks old).",1
"""come with me"" was set at night during a [MASK] on a beach in thailand.",1
"the islamic movement of the 15th of shaaban is a secular iraqi political [MASK] based in nassiriya, southern iraq.",1
"banning accordingly concluded, as her daughter's sole legal custodian, that it was not in the child's interest to be a [MASK] to newdow's lawsuit.",3
"nigeria has a multi-[MASK] system, with two or three strong [MASK] and a third [MASK] that is electorally successful.",2
"it is one of the largest [MASK] active in the province of balochistan, pakistan along with balochistan national [MASK].",2
"sierra leone's two most dominant [MASK], the apc and the slpp, collectively won every elected seats in parliament in the 2012 sierra leone parliamentary election.",2
"french guiana has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"a leadership spill occurs when a member or members of the parliamentary [MASK] feel that the leader is taking the [MASK] in an undesirable direction or is simply not delivering on promises made to those who elected the leader, and does not have the numbers to back his or her position.",2
"it is limited to liberal [MASK] with substantial support, mainly proved by having had a representation in parliament.",2
it offers a number of snack food services to home [MASK] foods.,1
the botswana national front (or bnf) has been the main opposition [MASK] in botswana since the 1969 elections.,2
"student societies used to be politically engaged, but are now more focused on organizing [MASK], cantus, and cultural activities.",1
"the first music video released, directed by brody baker and produced by josh hartnett, displays kid cudi at a [MASK].",1
"the nationalist republican [MASK] (, prn, usually called ""nationalists"") was a right-wing republican [MASK] during the first portuguese republic.",2
this motion was supported by all the left-wing and centre-left [MASK] and it passed with a slim 76-72 majority.,2
"shortly after its opening in july 2007, the week international rio de janeiro had already become one of the most talked about clubs in the city, attracting national and international celebrities, and becoming the gay nightclub to go on saturday nights thanks to its cosmopolitan [MASK].",1
"free democrats (armenian: ազատ դեմոկրատներ, ""azat demokratner"") is an armenian liberal, pro-european [MASK].",2
"frederick moskowitt, sometimes spelled moskowitz or muskowitz, (february 7, 1821 - ?) was an american gardener and farmer from the town of milwaukee, wisconsin who served intermittently in the wisconsin state assembly for a total of five terms over a period from 1855 to 1878, under three different [MASK] labels: democratic, wisconsin reform, and liberal republican [MASK].",2
"although he briefly joined in the scheme of his brother charles, cardinal de bourbon, to form a third [MASK] in the kingdom, he attended henry's coronation in 1594.",1
"a [MASK] seeking summary judgment (or making any other motion) is called the movant (usually, this is ""defendant""); the opposing [MASK] is the nonmovant (usually, ""plaintiff"").",3
al-sayegh is a member of national democratic alliance (altahalof); a liberal [MASK] in kuwait since 2003.,1
"committees for football, hockey and [MASK] were also founded at the meeting.",1
"this article is limited to liberal [MASK] with substantial support, proved by having had representation in parliament.",2
"the blog, which further covered ongoing intra-[MASK] operations, political issues and scandals, was started in june 2005 by democratic consultant mark nickolas, former campaign manager for both speaker of the kentucky house jody richards and u.s. house rep. ben chandler's 2003 gubernatorial campaign and hack journalist.",2
it is a kind of [MASK] usually organised by women and held in the afternoon on a monthly basis.,1
"the movement declares itself cross-[MASK] because it considers independence a value of all the people, without care of the [MASK] in which everyone can identify.",1
"he was the leader of a group of leaders in the [MASK], and was opposed to many decisions of [MASK] president naveen patnaik.",2
"he was one of the leaders of the socialist workers' [MASK], hungary's communist [MASK], in the tumultuous years that led to the collapse of communism in eastern and central europe.",1
"a political house[MASK] is a [MASK] held in a private home for the purpose of supporting a particular candidate, political [MASK], or ballot measure, or to share information and opinions about an upcoming election.",1
"he also hosted his own interview program on the television channel venevisión, in which he severely criticized the two dominant [MASK] of the second half of the twentieth century in venezuela, ad and copei.",2
the people's movement for democratic change (pmdc) is a socially liberal [MASK] in sierra leone.,2
"the neologism ""lotacracy"" was coined in pakistan to describe politicians who would switch [MASK].",2
"best known for 1999 nomination as president of germany by the conservative christian democratic union (cdu) and its sister [MASK], the christian social union of bavaria (csu), schipanski has held a variety of political and academic roles her during four decade-long career and has been awarded with numerous honors, most notably the order of merit of the federal republic of germany in 1996.",2
"denmark has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments and/or minority cabinets.",2
"in order for an issue to create the foundation for [MASK] choice, a voter must first be concerned about a particular issue and have some knowledge about that issue.",2
"kosovo has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
adp was founded as an opposition [MASK] against the pahlavi dynasty.,2
"her [MASK] affiliation is never discussed, although it is hinted in the fourth season finale that it is democratic.",2
the christian democratic [MASK] () is a christian democratic [MASK] in el salvador.,2
national socialism is banned outright in germany as anti-constitutional; it is illegal to found or belong to a nazi [MASK].,2
"typically, the payer (an individual, business, or organization) makes campaign contributions to public officials, [MASK] officials, or [MASK] themselves, and receives political or pecuniary benefit such as no-bid government contracts, influence over legislation, political appointments or nominations, special access or other favors.",2
the democratic union () was a liberal christian-democratic [MASK] in poland.,2
"the german people's [MASK] (, dtvp) was a german liberal [MASK] created in 1868 by the wing of the german progress [MASK] which during the conflict about whether the unification of germany should be led by the kingdom of prussia or austria-hungary supported austria.",2
[MASK].,1
the british national [MASK] (bnp) is a nationalist [MASK] in the united kingdom which espoused the ideology of fascism and anti-immigration.,2
"a dot com [MASK] (often known as an internet [MASK] or more generally, a launch [MASK]) is a social and business networking [MASK] hosted by an internet-related business, typically for promotional purposes or to celebrate a corporate event such as a product launch, venture funding round, or corporate acquisition.",1
an injunction is a legal and equitable remedy in the form of a special court order that compels a [MASK] to do or refrain from specific acts.,3
estonia has a multi-[MASK] system with numerous [MASK].,2
"ball pits may be rented for [MASK], and smaller versions are sold for use in the home.",1
a squat [MASK] is a [MASK] that takes place either in a disused building (broken into and secured for the [MASK]) or in an already existing squat.,1
such policies are often influenced by international institutions like the international monetary fund or world bank as well as political beliefs and the consequent policies of [MASK].,2
